RCrb`o[B_M?[?[?MOBe?[w@poB`oB_ n=19 m=57 bipUB=11 ratio=11/361 0.030470914
RCp`_oK`eEKKKKEE@`cKKoop`````_ n=19 m=57 bipUB=9 ratio=9/361 0.024930748
R?bFB_wF?[?w?w_[WFF?w[B_wF?wF? n=19 m=57 bipUB=9 ratio=9/361 0.024930748
R?`@C`GhEcLGlGUcDhClGQs_dh?dh? n=19 m=57 bipUB=11 ratio=11/361 0.030470914
R??CAA_sFO]_]_nOJs@]_Dy?Js?Js? n=19 m=57 bipUB=11 ratio=11/361 0.030470914
R???CB?wF_^?~?^_Fw?~?B{?Fw?Fw? n=19 m=57 bipUB=9 ratio=9/361 0.024930748
SlSggSD?gA_D?D?A_?g?D??U??i??l??S n=20 m=40 bipUB=0 ratio=0/400 0.000000000
ShdHGcH@GC_H?H?C_@G?H_?d?@H?@K_?c n=20 m=40 bipUB=8 ratio=8/400 0.020000000
ShEIHCPAGG_P?P?G_AK?PO@C_AG_AKO@C n=20 m=40 bipUB=0 ratio=0/400 0.000000000
ShCKIC`CGO_`?`?OoCI?`GACOCGOCKGAC n=20 m=40 bipUB=8 ratio=8/400 0.020000000
ShCGKD@GG_`@@@__gGH@@CCCGGGGGKCCC n=20 m=40 bipUB=0 ratio=0/400 0.000000000
ShCGGE@OH?a@a@P?cOGa@AGCCOGCOKAGC n=20 m=40 bipUB=6 ratio=6/400 0.015000000
ShCGGC@_I?s@S@I?a_GS@@OCA_GA_K@OC n=20 m=40 bipUB=0 ratio=0/400 0.000000000
SUWooWE?oB?E?E?B??o?E??Y??u??r??W n=20 m=40 bipUB=8 ratio=8/400 0.020000000
SQIQPGQAOH?Q?Q?H?AS?QO@G_AS_AQO@G n=20 m=40 bipUB=4 ratio=4/400 0.010000000
SQGSQGaCOP?a?a?POCQ?aGAGOCSOCQGAG n=20 m=40 bipUB=0 ratio=0/400 0.000000000
SQGOSHAGO`@A@A_`GGP@ACCGGGSGGQCCG n=20 m=40 bipUB=8 ratio=8/400 0.020000000
SQGOOIAOP@AAaAP@COOaAAGGCOSCOQAGG n=20 m=40 bipUB=8 ratio=8/400 0.020000000
SCp`_oK@_E?K?K?E?@_?K_?r?@b?@`_?o n=20 m=40 bipUB=6 ratio=6/400 0.015000000
SCQa`OSA_I?S?S?I?Ac?SO@Q_Aa_A`O@O n=20 m=40 bipUB=0 ratio=0/400 0.000000000
SCO_cPCG_a@C@C_aGG`@CCCQGGaGG`CCO n=20 m=40 bipUB=0 ratio=0/400 0.000000000
SCO__QCO`AACaCPACO_aCAGQCOaCO`AGO n=20 m=40 bipUB=8 ratio=8/400 0.020000000
SCO__OC_aASCSCIAA__SC@OQA_aA_`@OO n=20 m=40 bipUB=0 ratio=0/400 0.000000000
S?bB@_WB?K?W?W?K?BC?Wo@`_B@_B?o@_ n=20 m=40 bipUB=4 ratio=4/400 0.010000000
S?`DA_gD?S?g?g?SODA?ggA`OD@OD?gA_ n=20 m=40 bipUB=8 ratio=8/400 0.020000000
S?`@C`GH?c@G@G_cGH@@GcC`GH@GH?cC_ n=20 m=40 bipUB=6 ratio=6/400 0.015000000
S?`@?_G`ACSGSGICA`?SG`O`A`@A`?`O_ n=20 m=40 bipUB=8 ratio=8/400 0.020000000
