\hEILDPIGg`P@P_ggIH@PcDDGIHGIGcDCH@P@GIKC_ggH@PgH@PSC_gd@GIGgH@Pa_cDC n=29 m=116 bip=26 ratio=26/841 0.030915577
\hEIHCPaIGcPCPaGgaHCPcPDGaHGaGcPEHCPPGaHCaGaHCPaHCPPCaGcPGaGaHCPaGcPC n=29 m=116 bip=26 ratio=26/841 0.030915577
\hCKIC`cIOc`C`aOgcHC`cQDGcHGcGcQEHC`PGcHCaOqHC`QHC`HCaOaPGcGQHC``GcQC n=29 m=116 bip=26 ratio=26/841 0.030915577
\UWooWE?sBWEWEKBB?oWE@_WB?sB?u@_X_WEKB?ooKB@_WE@_WE?oKBOKB?u@_WEWE@_W n=29 m=116 bip=26 ratio=26/841 0.030915577
\UWooWE?sBGEGECBP?uGEW_Wp?op?sW_XEGEGp?obCB@EGE@EGE?bCBOGp?u@EGEWCW_W n=29 m=116 bip=26 ratio=26/841 0.030915577
\UWooWE?oBOEoEWBE?ooEB?YE?uE?rB?WooEEE?oWWB?ooE?ooE?WWBOEE?u?ooEWBB?W n=29 m=116 bip=26 ratio=26/841 0.030915577
\QIURGqEOX?q?q?XOEU?qWBGoEOoEOWBGE?q?oEOB?XOE?qoE?qWB?XE?oESoE?qR?WBG n=29 m=116 bip=28 ratio=28/841 0.033293698
\QIQPIQqRHEQEQBH?qOEQ?XG?qO?qO?XI?EQo?qR?BHE?EQe?EQR?BHCo?qSe?EQQW?XG n=29 m=116 bip=28 ratio=28/841 0.033293698
\QGOOIAOP@QAqAX@EOOqABGIEOUEORBGGoqAeEOQWX@CoqACoqAAWX@?eEOSCoqAORBGG n=29 m=116 bip=26 ratio=26/841 0.030915577
\CO_cRCwbaFCFCBa?w_FC?[O?w_?w_?[Q?FCo?wf?BaM?FCM?FCF?BaPo?waM?FCGw?[O n=29 m=116 bip=28 ratio=28/841 0.033293698
