C21(1,8) n=21 e=42 beta=6 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(1,9) n=21 e=42 beta=8 Rbest=42 C5=42 tr5mod10=0 propA=OK
C21(2,3) n=21 e=42 beta=8 Rbest=42 C5=42 tr5mod10=0 propA=OK
C21(2,5) n=21 e=42 beta=6 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(2,6) n=21 e=42 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(2,8) n=21 e=42 beta=6 Rbest=21 C5=21 tr5mod10=0 propA=OK
C21(2,9) n=21 e=42 beta=6 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(2,10) n=21 e=42 beta=6 Rbest=21 C5=21 tr5mod10=0 propA=OK
C21(3,4) n=21 e=42 beta=6 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(3,5) n=21 e=42 beta=8 Rbest=42 C5=42 tr5mod10=0 propA=OK
C21(3,8) n=21 e=42 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(3,10) n=21 e=42 beta=6 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(4,5) n=21 e=42 beta=6 Rbest=21 C5=21 tr5mod10=0 propA=OK
C21(4,6) n=21 e=42 beta=8 Rbest=42 C5=42 tr5mod10=0 propA=OK
C21(4,9) n=21 e=42 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(4,10) n=21 e=42 beta=6 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(5,6) n=21 e=42 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(5,9) n=21 e=42 beta=6 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(6,8) n=21 e=42 beta=6 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(6,10) n=21 e=42 beta=8 Rbest=42 C5=42 tr5mod10=0 propA=OK
C21(8,9) n=21 e=42 beta=8 Rbest=42 C5=42 tr5mod10=0 propA=OK
C21(8,10) n=21 e=42 beta=6 Rbest=21 C5=21 tr5mod10=0 propA=OK
C21(9,10) n=21 e=42 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C21(1,3,5) n=21 e=63 beta=9 Rbest=63 C5=63 tr5mod10=0 propA=OK
C21(1,3,8) n=21 e=63 beta=15 Rbest=430 C5=462 tr5mod10=0 propA=OK
C21(1,4,6) n=21 e=63 beta=15 Rbest=381 C5=399 tr5mod10=0 propA=OK
C21(1,4,9) n=21 e=63 beta=9 Rbest=63 C5=63 tr5mod10=0 propA=OK
C21(1,5,9) n=21 e=63 beta=15 Rbest=381 C5=399 tr5mod10=0 propA=OK
C21(1,6,8) n=21 e=63 beta=9 Rbest=0 C5=0 tr5mod10=0 propA=OK
