d	r	c	M	maxR_num	maxR_den	argk	hstar	lam	mu	nu	src
7	6	16	40	44	321	1	1,8,22,9,0,0,0,0	9,4,4,2,2,1	19,7,6,2	27,10,9,5,3,2	purged_region\pop_profile.jsonl
3	5	14	16	5	31	1	1,10,5,0	14,11,8,5,2	19,6	29,16,9,6,5	purged_region\pop_profile.jsonl
5	6	20	28	39	305	1	1,14,13,0,0,0	18,15,12,7,4,1	11,7,4,1	28,20,15,7,5,5	purged_region\pop_profile.jsonl
6	6	25	64	70	337	1	1,18,35,10,0,0,0	19,13,10,7,4,1	12,9,4,1	29,22,14,7,5,3	purged_region\pop_profile.jsonl
5	6	34	119	70	171	1	1,28,70,20,0,0	19,16,10,7,4,1	14,7,4	31,21,15,8,4,3	purged_region\pop_profile.jsonl
5	6	12	22	33	217	1	1,6,11,4,0,0	8,5,5,3,2,1	10,8,3,2,1	18,11,7,5,4,3	purged_region\pop_profile.jsonl
7	6	16	9	0	1	1	1,8,0,0,0,0,0,0	14,5,3,3,1,1	13,10,6,3,2,1	25,14,8,8,4,3	purged_region\pop_profile.jsonl
5	5	15	33	51	257	1	1,9,17,6,0,0	14,6,4,3,1	11,11,3,2,1	24,15,7,6,4	purged_region\pop_profile.jsonl
4	5	15	21	2	11	1	1,10,10,0,0	23,13,8,5,1	7,4,1	25,15,10,6,6	purged_region\pop_profile.jsonl
6	5	102	1724	1499	1895	1	1,95,666,792,167,3,0	25,12,9,6,1	13,10,7,4,1	36,20,15,9,8	purged_region\pop_profile.jsonl
5	5	12	13	18	209	1	1,6,6,0,0,0	8,7,4,3,1	13,10,4	20,14,8,6,2	purged_region\pop_profile.jsonl
6	5	130	2902	198	233	1	1,123,1007,1399,362,10,0	13,10,7,4,1	13,7,4,1	23,16,11,6,4	purged_region\pop_profile.jsonl
6	5	92	1504	1309	1690	1	1,85,581,687,147,3,0	14,11,7,4,1	16,11,8,4,1	27,20,17,7,6	purged_region\pop_profile.jsonl
5	5	13	13	15	221	1	1,7,5,0,0,0	15,11,8,5,2	12,9,4,1	26,19,10,6,6	purged_region\pop_profile.jsonl
3	6	9	7	1	21	1	1,5,1,0	16,13,10,7,4,1	24,10	38,19,12,10,4,2	purged_region\pop_profile.jsonl
6	5	51	298	326	677	1	1,44,163,90,0,0,0	17,14,7,4,1	15,10,4,1	31,20,11,6,5	purged_region\pop_profile.jsonl
5	6	14	19	27	235	1	1,8,9,1,0,0	13,8,6,4,4,1	13,4,3	23,13,7,5,4,4	purged_region\pop_profile.jsonl
6	5	73	904	829	1196	1	1,66,380,387,69,1,0	14,11,8,5,2	17,12,9,1	29,22,16,7,5	purged_region\pop_profile.jsonl
5	6	14	9	0	1	1	1,8,0,0,0,0	13,9,7,7,2,1	19,10,3	29,19,9,9,3,2	purged_region\pop_profile.jsonl
6	5	124	2820	2297	2704	1	1,117,973,1369,351,9,0	19,10,7,4,1	10,7,4,1	25,16,10,9,3	purged_region\pop_profile.jsonl
6	5	22	56	60	307	1	1,15,30,10,0,0,0	16,7,5,4,3	19,12,4,2	33,19,8,7,5	purged_region\pop_profile.jsonl
6	5	23	60	66	317	1	1,16,33,10,0,0,0	17,8,6,3,1	13,5,4,1	28,13,10,4,3	purged_region\pop_profile.jsonl
8	6	13	5	0	1	1	1,4,0,0,0,0,0,0,0	11,10,6,3,3,1	10,4,2,2,1	19,14,9,5,4,2	purged_region\pop_profile.jsonl
4	6	11	10	3	43	1	1,6,3,0,0	14,8,7,2,1,1	12,7,5	24,13,13,4,2,1	purged_region\pop_profile.jsonl
9	6	32	462	1720	5141	1	1,22,135,211,87,6,0,0,0,0	6,5,4,3,2,1	8,6,3,3,2	13,10,7,6,4,3	purged_region\pop_profile.jsonl
5	5	39	98	192	533	1	1,33,64,0,0,0	13,10,7,4,1	20,14,5	32,19,11,8,4	purged_region\pop_profile.jsonl
3	5	12	12	1	9	1	1,8,3,0	14,10,7,4,1	19,9,1	31,16,7,7,4	purged_region\pop_profile.jsonl
5	6	18	44	23	99	1	1,12,23,8,0,0	11,11,5,4,1,1	13,8,4,3,3,1	22,18,9,8,4,4	purged_region\pop_profile.jsonl
9	6	159	25719	9290	10379	1	1,149,2486,9396,10254,3219,214,0,0,0	19,13,10,7,4,1	12,7,4,1	29,19,12,8,7,3	purged_region\pop_profile.jsonl
5	5	82	576	981	1393	1	1,76,327,172,0,0	23,15,8,5,1	10,7,4,1	29,21,12,6,6	purged_region\pop_profile.jsonl
