N????B?M@o^?@~NwWz?	15	34	5
N????B?M@p?}puNw^w?	15	36	5
N????B?M@p?}pupu^w?	15	36	4
N????B?M@p?}pu~o^w?	15	37	5
N????B?M@p?}}@NwWz?	15	34	6
N????B?M@p?}}@pu^w?	15	35	6
N????B?MFo^?ps@~F{?	15	35	5
N????B?MGNOy]BNw^w?	15	36	5
N????B?MGNOy]Bps^w?	15	35	5
N????B?MGNOy]B~o^w?	15	37	5
N????B?MGNWyps}AF{?	15	35	5
N????B?MGNWyps}A^w?	15	36	5
N????B?MGNWy}ANwF{?	15	36	4
