g6	n	m	Q	bip	dist	phi	tf	mtf
H?BfErw	9	15	9	0	1	111442200	1	0
H?BfEo]	9	14	9	2	1	111330024	1	0
H?BfFrw	9	16	9	0	0	111442200	1	0
H?BefBo	9	13	9	0	3	000031111	1	0
H?BefBg	9	13	9	0	3	000331111	1	0
H?BefBW	9	13	9	0	3	000331114	1	0
H?BefBw	9	14	9	0	2	111330002	1	0
H?Bef?\	9	13	9	1	2	111330204	1	0
H?Bef?N	9	13	9	0	3	111330001	1	0
H?Bed`o	9	12	9	0	4	000031111	1	0
H?Bedbo	9	13	9	0	3	000031111	1	0
H?Bed`w	9	13	9	0	4	000031114	1	0
H?Bedbw	9	14	9	0	3	111130002	1	0
H?Bed_N	9	13	9	0	3	111130004	1	0
H?Befbo	9	14	9	0	2	000031111	1	0
H?Befbw	9	15	9	0	2	111130002	1	0
H?BeeRo	9	13	9	0	4	000031141	1	0
H?BeeRw	9	14	9	0	3	114442220	1	0
H?BefRo	9	14	9	0	3	000031141	1	0
H?BefRw	9	15	9	0	3	111442000	1	0
H?Bedpw	9	14	9	0	4	111142200	1	0
H?Bedrw	9	15	9	0	3	111142200	1	0
H?Befrw	9	16	9	0	2	111142200	1	0
H?Bffbo	9	15	9	0	1	000031111	1	0
H?Bffbg	9	15	9	0	2	000031114	1	0
H?Bffbw	9	16	9	0	1	111130002	1	0
H?BffRw	9	16	9	0	2	111442000	1	0
H?Bffrw	9	17	9	0	1	111442000	1	0
H?Bcv@w	9	13	9	0	3	000331414	1	0
H?BcvBw	9	14	9	0	2	111330202	1	0
H?Bcv?\	9	13	9	1	2	111330204	1	0
H?Bcu`w	9	13	9	0	5	114140020	1	0
H?Bcubw	9	14	9	0	4	114140020	1	0
H?Bcrb_	9	12	9	0	4	000331411	1	0
H?Bcrbo	9	13	9	0	4	111130200	1	0
H?Bcrbg	9	13	9	0	5	111330200	1	0
H?BcrbW	9	13	9	0	4	113142020	1	0
H?Bcrbw	9	14	9	0	4	111142020	1	0
H?Bcv`w	9	14	9	0	4	111130202	1	0
H?Bcvbw	9	15	9	0	3	111442000	1	0
H?Bcrpw	9	14	9	0	4	311112200	1	0
H?Bcrrw	9	15	9	0	3	111442000	1	0
H?Bcvrw	9	16	9	0	2	111442000	1	0
H?Bevbw	9	16	9	0	2	111442000	1	0
H?Beurw	9	16	9	0	2	111442000	1	0
H?Betpw	9	15	9	0	3	111442000	1	0
H?Betrw	9	16	9	0	2	111442000	1	0
H?Bevrw	9	17	9	0	1	111442000	1	0
H?Bfvrw	9	18	9	0	0	111442000	1	0
H?Bvfbo	9	16	9	0	0	000031111	1	0
H?Bvfbw	9	17	9	0	0	111130002	1	0
H?BvfRw	9	17	9	0	1	111142200	1	0
H?Bvfrw	9	18	9	0	0	111142200	1	0
H?BvUrw	9	17	9	0	2	114110020	1	0
H?BvVrw	9	18	9	0	1	111410200	1	0
H?Bvvrw	9	19	9	0	0	111142000	1	0
H?B~vrw	9	20	9	0	0	111110000	1	1
H?`@FB_	9	9	9	0	3	000333311	1	0
H?`@FBo	9	10	9	0	4	111133300	1	0
H?`@F@g	9	9	9	1	5	000303311	1	0
H?`@F@w	9	10	9	1	5	311442220	1	0
H?`@F?{	9	10	9	1	6	114111330	1	0
H?`@F?M	9	9	9	0	5	444222201	1	0
H?`@F?]	9	10	9	0	4	222444410	1	0
H?`@F?N	9	10	9	0	4	444222201	1	0
H?`@F?^	9	11	9	0	3	000333312	1	0
H?`@?b?	9	6	9	0	4	003311331	1	0
H?`@?b_	9	7	9	0	4	111333330	1	0
H?`@?bo	9	8	9	0	4	111133330	1	0
H?`@C`_	9	7	9	0	5	002000303	1	0
H?`@Cb_	9	8	9	0	5	200030033	1	0
H?`@C`O	9	7	9	0	5	003033311	1	0
H?`@CbO	9	8	9	0	4	003033311	1	0
H?`@C`o	9	8	9	0	5	244422220	1	0
H?`@Cbo	9	9	9	0	5	111133300	1	0
H?`@C_W	9	7	9	1	5	033003311	1	0
H?`@C`W	9	8	9	1	5	242442220	1	0
H?`@C`w	9	9	9	1	5	244442220	1	0
H?`@Eb_	9	9	9	0	5	000033311	1	0
H?`@Ebo	9	10	9	0	4	111133300	1	0
H?`@E_w	9	9	9	1	6	442422202	1	0
H?`@E`w	9	10	9	1	6	111113300	1	0
H?`@E_k	9	9	9	0	5	442422201	1	0
H?`@E_[	9	9	9	1	6	442422202	1	0
H?`@E_{	9	10	9	1	6	331144020	1	0
H?`@E_l	9	10	9	0	4	442422201	1	0
